CustomerID,CustomerName,TotalRevenue,TotalProfit,TotalOrders,AvgOrderValue,LastPurchaseDate,LastPurchaseDaysAgo,Cluster,SegmentName
C0037,Customer 037,380382.45,135317.45,28,13585.0875,2025-12-19,12,3,High Value At Risk
C0038,Customer 038,281056.9,101896.9,17,16532.758823529413,2025-12-17,14,0,High Value Active
C0039,Customer 039,223448.1,70433.1,13,17188.315384615384,2025-11-05,56,0,High Value Active
C0040,Customer 040,184303.15,71313.15,25,7372.126,2025-12-23,8,1,Low Engagement
C0041,Customer 041,193696.4,63326.4,18,10760.91111111111,2025-10-20,72,1,Low Engagement
C0042,Customer 042,268267.0,85352.0,27,9935.814814814816,2025-12-26,5,0,High Value Active
C0043,Customer 043,201824.25,75169.25,25,8072.97,2025-10-24,68,1,Low Engagement
C0044,Customer 044,271314.5,90939.5,30,9043.816666666668,2025-12-29,2,0,High Value Active
C0045,Customer 045,153305.1,56865.1,20,7665.255,2025-12-28,3,1,Low Engagement
C0046,Customer 046,261105.4,85095.4,20,13055.27,2025-11-24,37,0,High Value Active
C0047,Customer 047,323891.2,104331.2,28,11567.542857142858,2025-09-04,118,0,High Value Active
C0048,Customer 048,263111.2,84831.2,25,10524.448,2025-12-25,6,0,High Value Active
C0049,Customer 049,190446.85,68501.85,26,7324.878846153846,2025-12-29,2,1,Low Engagement
C0050,Customer 050,346414.2,127819.2,18,19245.233333333334,2025-10-03,89,3,High Value At Risk
C0051,Customer 051,268152.5,91167.5,20,13407.625,2025-11-09,52,0,High Value Active
C0052,Customer 052,296813.75,91828.75,20,14840.6875,2025-12-19,12,0,High Value Active
C0053,Customer 053,268646.3,90401.3,26,10332.55,2025-08-24,129,2,Low Engagement
C0054,Customer 054,285629.4,106314.4,25,11425.176000000001,2025-10-30,62,0,High Value Active
C0055,Customer 055,333425.9,121510.90000000001,28,11908.067857142858,2025-12-11,20,0,High Value Active
C0056,Customer 056,285400.9,106560.9,24,11891.704166666668,2025-12-30,1,0,High Value Active
C0057,Customer 057,207102.75,77367.75,22,9413.761363636364,2025-12-08,23,1,Low Engagement
C0058,Customer 058,268386.05,96841.05,20,13419.3025,2025-12-04,27,0,High Value Active
C0059,Customer 059,436904.55,161194.55,27,16181.65,2025-12-02,29,3,High Value At Risk
C0060,Customer 060,313034.3,103994.3,35,8943.837142857143,2025-12-21,10,0,High Value Active
C0061,Customer 061,228910.8,83110.8,20,11445.539999999999,2025-11-02,59,0,High Value Active
C0062,Customer 062,135719.05,50234.05,13,10439.926923076922,2025-07-02,182,2,Low Engagement
C0063,Customer 063,316076.9,116856.9,29,10899.203448275863,2025-12-29,2,0,High Value Active
C0064,Customer 064,164940.95,59965.95,20,8247.0475,2025-12-17,14,1,Low Engagement
C0065,Customer 065,241226.3,90306.3,20,12061.314999999999,2025-10-29,63,0,High Value Active
C0066,Customer 066,442518.6,160943.6,33,13409.654545454545,2025-12-01,30,3,High Value At Risk
C0067,Customer 067,331129.0,124879.0,22,15051.318181818182,2025-12-26,5,0,High Value Active
C0068,Customer 068,179308.45,60343.45,20,8965.4225,2025-09-19,103,1,Low Engagement
C0069,Customer 069,150435.7,56145.7,22,6837.986363636364,2025-11-11,50,1,Low Engagement
C0070,Customer 070,164327.5,61967.5,22,7469.431818181818,2025-11-24,37,1,Low Engagement
C0071,Customer 071,168835.6,63315.6,21,8039.7904761904765,2025-12-29,2,1,Low Engagement
C0072,Customer 072,211528.1,79518.1,21,10072.766666666666,2025-12-14,17,0,High Value Active
C0073,Customer 073,180275.2,68345.2,21,8584.533333333335,2025-12-18,13,1,Low Engagement
C0074,Customer 074,401302.95,149142.95,27,14863.072222222223,2025-12-20,11,3,High Value At Risk
C0075,Customer 075,130080.40000000001,46885.4,16,8130.025000000001,2025-09-13,109,1,Low Engagement
C0076,Customer 076,263583.8,97498.8,25,10543.351999999999,2025-12-09,22,0,High Value Active
C0077,Customer 077,130041.2,49331.2,13,10003.16923076923,2025-09-11,111,1,Low Engagement
C0078,Customer 078,309814.8,115874.8,34,9112.199999999999,2025-12-25,6,0,High Value Active
C0079,Customer 079,142419.6,48459.6,20,7120.9800000000005,2025-12-27,4,1,Low Engagement
C0080,Customer 080,179088.6,58178.6,12,14924.050000000001,2025-11-17,44,1,Low Engagement
C0081,Customer 081,122326.25,40651.25,21,5825.059523809524,2025-12-23,8,1,Low Engagement
C0082,Customer 082,354222.6,130482.6,24,14759.275,2025-11-04,57,3,High Value At Risk
C0083,Customer 083,277154.35,101839.35,25,11086.173999999999,2025-11-15,46,0,High Value Active
C0084,Customer 084,355862.4,116972.4,25,14234.496000000001,2025-11-07,54,0,High Value Active
C0085,Customer 085,152546.35,57111.35,25,6101.854,2025-11-24,37,1,Low Engagement
C0086,Customer 086,325222.0,103557.0,28,11615.07142857143,2025-12-16,15,0,High Value Active
C0087,Customer 087,180725.3,60355.3,19,9511.857894736842,2025-11-29,32,1,Low Engagement
C0088,Customer 088,149587.05,55892.05,19,7873.002631578946,2025-09-24,98,1,Low Engagement
C0089,Customer 089,190544.1,70369.1,24,7939.337500000001,2025-10-20,72,1,Low Engagement
C0090,Customer 090,371510.9,125265.9,28,13268.246428571429,2025-11-21,40,3,High Value At Risk
C0091,Customer 091,345316.2,129651.2,30,11510.54,2025-12-11,20,3,High Value At Risk
C0092,Customer 092,176798.6,65788.6,21,8418.980952380953,2025-11-03,58,1,Low Engagement
C0093,Customer 093,212528.65,67913.65,24,8855.360416666666,2025-12-29,2,1,Low Engagement
C0094,Customer 094,388616.1,137876.1,26,14946.773076923077,2025-12-04,27,3,High Value At Risk
C0095,Customer 095,197733.35,73188.35,14,14123.810714285715,2025-12-23,8,0,High Value Active
C0096,Customer 096,166819.1,61419.1,20,8340.955,2025-10-15,77,1,Low Engagement
C0097,Customer 097,303457.6,95787.6,20,15172.88,2025-12-10,21,0,High Value Active
C0098,Customer 098,99353.7,35338.7,20,4967.6849999999995,2025-09-03,119,1,Low Engagement
C0099,Customer 099,241728.3,87058.3,19,12722.542105263157,2025-12-24,7,0,High Value Active
C0100,Customer 100,323815.6,120935.6,28,11564.842857142856,2025-12-20,11,0,High Value Active
C0101,Customer 101,312098.7,113388.7,23,13569.508695652174,2025-11-30,31,0,High Value Active
C0102,Customer 102,250856.5,90516.5,18,13936.472222222223,2025-10-02,90,0,High Value Active
C0103,Customer 103,270494.15,96314.15,24,11270.589583333334,2025-11-25,36,0,High Value Active
C0104,Customer 104,309716.7,113636.7,27,11470.988888888889,2025-11-26,35,0,High Value Active
C0105,Customer 105,179187.2,68182.2,21,8532.72380952381,2025-12-23,8,1,Low Engagement
C0106,Customer 106,110199.15,39004.15,19,5799.9552631578945,2025-08-28,125,1,Low Engagement
C0107,Customer 107,524352.8,192572.8,39,13444.94358974359,2025-11-09,52,3,High Value At Risk
C0108,Customer 108,134476.9,50946.9,21,6403.661904761904,2025-12-01,30,1,Low Engagement
C0109,Customer 109,294039.5,108199.5,27,10890.351851851852,2025-12-12,19,0,High Value Active
C0110,Customer 110,230043.55,86983.55,19,12107.555263157894,2025-10-08,84,0,High Value Active
C0111,Customer 111,390806.2,140416.2,23,16991.573913043478,2025-10-11,81,3,High Value At Risk
C0112,Customer 112,172970.7,58220.7,24,7207.1125,2025-12-09,22,1,Low Engagement
C0113,Customer 113,516406.5,188206.5,23,22452.456521739132,2025-10-15,77,3,High Value At Risk
C0114,Customer 114,316398.2,100628.2,21,15066.580952380953,2025-11-21,40,0,High Value Active
C0115,Customer 115,618719.5,224404.5,25,24748.78,2025-12-30,1,3,High Value At Risk
C0116,Customer 116,597703.4,214683.4,30,19923.446666666667,2025-11-01,60,3,High Value At Risk
C0117,Customer 117,229995.75,87185.75,29,7930.887931034483,2025-10-18,74,0,High Value Active
C0118,Customer 118,344049.1,111649.1,23,14958.656521739129,2025-12-23,8,0,High Value Active
C0119,Customer 119,254094.4,82854.4,21,12099.733333333334,2025-12-19,12,0,High Value Active
C0120,Customer 120,164711.4,54411.4,19,8669.021052631579,2025-12-18,13,1,Low Engagement
C0121,Customer 121,190311.9,60026.9,18,10572.883333333333,2025-12-27,4,1,Low Engagement
C0122,Customer 122,346176.2,124126.2,27,12821.340740740741,2025-12-29,2,0,High Value Active
C0123,Customer 123,348327.3,127272.3,26,13397.203846153845,2025-09-19,103,3,High Value At Risk
C0124,Customer 124,245164.7,88669.7,17,14421.45294117647,2025-05-16,229,2,Low Engagement
C0125,Customer 125,414197.6,152797.6,30,13806.586666666666,2025-12-20,11,3,High Value At Risk
C0126,Customer 126,422728.9,153318.9,26,16258.803846153847,2025-12-10,21,3,High Value At Risk
C0127,Customer 127,87352.2,34142.2,13,6719.4,2025-04-20,255,2,Low Engagement
C0128,Customer 128,285866.7,104846.7,26,10994.873076923077,2025-12-27,4,0,High Value Active
C0129,Customer 129,343565.8,113545.8,27,12724.659259259259,2025-12-05,26,0,High Value Active
C0130,Customer 130,239901.75,89681.75,24,9995.90625,2025-07-10,174,2,Low Engagement
C0131,Customer 131,141859.15,47049.15,16,8866.196875,2025-12-23,8,1,Low Engagement
C0132,Customer 132,397237.9,142737.9,21,18916.09047619048,2025-11-19,42,3,High Value At Risk
C0133,Customer 133,210042.1,77217.1,23,9132.265217391305,2025-10-22,70,1,Low Engagement
C0134,Customer 134,378554.75,122664.75,29,13053.612068965518,2025-11-08,53,3,High Value At Risk
C0135,Customer 135,253783.95,94808.95,25,10151.358,2025-12-09,22,0,High Value Active
C0136,Customer 136,271741.5,86711.5,30,9058.05,2025-12-07,24,0,High Value Active
C0137,Customer 137,171903.5,64193.5,23,7474.065217391304,2025-12-26,5,1,Low Engagement
C0138,Customer 138,245373.9,80393.9,17,14433.758823529412,2025-12-30,1,0,High Value Active
C0139,Customer 139,120050.6,45870.6,21,5716.695238095238,2025-05-23,222,2,Low Engagement
C0140,Customer 140,169999.95,61949.95,20,8499.997500000001,2025-11-24,37,1,Low Engagement
C0141,Customer 141,227912.95,84252.95,23,9909.258695652174,2025-11-29,32,0,High Value Active
C0142,Customer 142,209702.30000000002,77997.3,17,12335.429411764708,2025-12-02,29,0,High Value Active
C0143,Customer 143,415727.0,148662.0,32,12991.46875,2025-12-06,25,3,High Value At Risk
C0144,Customer 144,235335.9,86415.9,23,10231.995652173913,2025-10-08,84,0,High Value Active
C0145,Customer 145,307000.65,111525.65,25,12280.026000000002,2025-10-09,83,0,High Value Active
C0146,Customer 146,305983.3,112633.3,17,17999.017647058823,2025-12-09,22,0,High Value Active
C0147,Customer 147,215590.25,80630.25,26,8291.932692307691,2025-12-16,15,0,High Value Active
C0148,Customer 148,307756.1,102206.1,21,14655.05238095238,2025-12-03,28,0,High Value Active
C0149,Customer 149,392959.65,142034.65,31,12676.117741935484,2025-10-23,69,3,High Value At Risk
C0150,Customer 150,259170.9,85010.9,20,12958.545,2025-12-31,0,0,High Value Active
C0151,Customer 151,260339.5,82979.5,21,12397.119047619048,2025-11-15,46,0,High Value Active
C0152,Customer 152,242246.4,80036.4,23,10532.452173913043,2025-07-14,170,2,Low Engagement
C0153,Customer 153,158346.85,56811.85,14,11310.489285714286,2025-12-22,9,1,Low Engagement
C0154,Customer 154,231631.9,86051.9,21,11030.090476190477,2025-11-03,58,0,High Value Active
C0155,Customer 155,419337.9,131757.9,26,16128.380769230771,2025-12-01,30,3,High Value At Risk
C0156,Customer 156,368186.2,130481.2,28,13149.507142857143,2025-10-25,67,3,High Value At Risk
C0157,Customer 157,452736.6,161416.6,31,14604.406451612902,2025-10-11,81,3,High Value At Risk
C0158,Customer 158,364483.7,134753.7,18,20249.094444444447,2025-11-12,49,3,High Value At Risk
C0159,Customer 159,366919.7,135654.7,22,16678.168181818182,2025-10-07,85,3,High Value At Risk
C0160,Customer 160,312215.45,112360.45,26,12008.28653846154,2025-12-24,7,0,High Value Active
C0161,Customer 161,143499.25,54429.25,20,7174.9625,2025-09-17,105,1,Low Engagement
C0162,Customer 162,501698.2,180238.2,27,18581.414814814816,2025-11-15,46,3,High Value At Risk
C0163,Customer 163,318437.5,106297.5,31,10272.177419354839,2025-10-08,84,0,High Value Active
C0164,Customer 164,301422.1,107852.1,20,15071.105,2025-11-28,33,0,High Value Active
C0165,Customer 165,143547.3,50117.299999999996,18,7974.849999999999,2025-12-27,4,1,Low Engagement
C0166,Customer 166,373730.9,140045.9,27,13841.885185185187,2025-12-21,10,3,High Value At Risk
C0167,Customer 167,103895.7,38060.700000000004,21,4947.414285714285,2025-12-11,20,1,Low Engagement
C0168,Customer 168,333224.0,118844.0,20,16661.2,2025-12-14,17,0,High Value Active
C0169,Customer 169,87352.8,33222.8,18,4852.933333333333,2025-11-17,44,1,Low Engagement
C0170,Customer 170,151286.6,56081.6,16,9455.4125,2025-09-16,106,1,Low Engagement
C0171,Customer 171,180933.0,69248.0,24,7538.875,2025-08-03,150,2,Low Engagement
C0172,Customer 172,61286.3,23756.3,14,4377.592857142858,2025-10-28,64,1,Low Engagement
C0173,Customer 173,283246.75,105091.75,32,8851.4609375,2025-12-19,12,0,High Value Active
C0174,Customer 174,290122.4,91262.4,22,13187.381818181819,2025-12-27,4,0,High Value Active
C0175,Customer 175,312949.4,112299.4,14,22353.528571428575,2025-11-07,54,0,High Value Active
C0176,Customer 176,131030.85,49445.85,23,5696.99347826087,2025-12-08,23,1,Low Engagement
C0177,Customer 177,77064.55,26704.55,21,3669.7404761904763,2025-12-09,22,1,Low Engagement
C0178,Customer 178,166232.3,60707.3,22,7556.013636363636,2025-07-12,172,2,Low Engagement
C0179,Customer 179,384604.8,120934.8,31,12406.606451612903,2025-12-07,24,3,High Value At Risk
C0180,Customer 180,420953.3,132293.3,25,16838.131999999998,2025-09-11,111,3,High Value At Risk
C0181,Customer 181,390372.3,139702.3,27,14458.233333333334,2025-12-13,18,3,High Value At Risk
C0182,Customer 182,254864.5,93444.5,22,11584.75,2025-09-07,115,2,Low Engagement
C0183,Customer 183,253399.7,85339.7,25,10135.988000000001,2025-12-20,11,0,High Value Active
C0184,Customer 184,305239.2,94319.2,20,15261.960000000001,2025-12-25,6,0,High Value Active
C0185,Customer 185,385275.8,140010.8,29,13285.372413793102,2025-09-10,112,3,High Value At Risk
C0186,Customer 186,84093.05,31853.05,14,6006.646428571429,2025-12-21,10,1,Low Engagement
C0187,Customer 187,256946.25,96281.25,22,11679.375,2025-11-28,33,0,High Value Active
C0188,Customer 188,158041.4,58466.4,19,8317.968421052632,2025-07-09,175,2,Low Engagement
C0189,Customer 189,281286.95,84581.95,18,15627.052777777779,2025-02-21,313,2,Low Engagement
C0190,Customer 190,150299.05,57134.05,28,5367.823214285714,2025-12-25,6,1,Low Engagement
C0191,Customer 191,264613.3,79073.3,27,9800.492592592593,2025-12-26,5,0,High Value Active
C0192,Customer 192,149054.2,55174.2,16,9315.8875,2025-11-01,60,1,Low Engagement
C0193,Customer 193,234961.7,88761.7,19,12366.405263157896,2025-12-11,20,0,High Value Active
C0194,Customer 194,281212.4,99867.4,22,12782.381818181819,2025-11-15,46,0,High Value Active
C0195,Customer 195,229597.6,85092.6,19,12084.084210526316,2025-12-28,3,0,High Value Active
C0196,Customer 196,130696.7,49106.7,16,8168.54375,2025-12-27,4,1,Low Engagement
C0197,Customer 197,353787.15,130987.15,22,16081.234090909093,2025-11-25,36,3,High Value At Risk
C0198,Customer 198,318677.6,101237.6,24,13278.233333333332,2025-12-06,25,0,High Value Active
C0199,Customer 199,272021.5,99681.5,24,11334.229166666666,2025-12-10,21,0,High Value Active
C0200,Customer 200,457617.5,165172.5,23,19896.41304347826,2025-11-04,57,3,High Value At Risk
C0201,Customer 201,230666.6,80516.6,20,11533.33,2025-12-16,15,0,High Value Active
C0202,Customer 202,373651.2,133941.2,28,13344.685714285715,2025-12-26,5,3,High Value At Risk
C0203,Customer 203,316298.6,117398.59999999999,21,15061.838095238094,2025-12-19,12,0,High Value Active
C0204,Customer 204,467774.3,168054.3,26,17991.31923076923,2025-12-28,3,3,High Value At Risk
C0205,Customer 205,212577.85,79372.85,20,10628.8925,2025-12-12,19,0,High Value Active
C0206,Customer 206,71925.4,28845.4,16,4495.3375,2025-11-07,54,1,Low Engagement
C0207,Customer 207,265377.8,96252.8,17,15610.45882352941,2025-12-28,3,0,High Value Active
C0208,Customer 208,439197.3,160887.3,34,12917.567647058822,2025-12-19,12,3,High Value At Risk
C0209,Customer 209,270366.9,99991.9,22,12289.404545454547,2025-07-18,166,2,Low Engagement
C0210,Customer 210,392554.3,143429.3,24,16356.429166666667,2025-12-10,21,3,High Value At Risk
C0211,Customer 211,470529.0,173024.0,27,17427.0,2025-12-26,5,3,High Value At Risk
C0212,Customer 212,225202.4,72992.4,24,9383.433333333332,2025-10-06,86,1,Low Engagement
C0213,Customer 213,226793.2,84718.2,24,9449.716666666667,2025-11-18,43,0,High Value Active
C0214,Customer 214,418210.0,149790.0,29,14421.034482758621,2025-08-25,128,3,High Value At Risk
C0215,Customer 215,259883.2,81693.2,17,15287.24705882353,2025-10-12,80,0,High Value Active
C0216,Customer 216,233521.30000000002,76061.3,20,11676.065,2025-10-17,75,0,High Value Active
C0217,Customer 217,203475.3,77400.3,26,7825.973076923076,2025-11-05,56,1,Low Engagement
C0218,Customer 218,253810.0,89610.0,20,12690.5,2025-12-22,9,0,High Value Active
C0219,Customer 219,219666.7,80326.7,17,12921.570588235294,2025-09-15,107,2,Low Engagement
C0220,Customer 220,340773.8,124533.8,24,14198.908333333333,2025-12-09,22,0,High Value Active
