OrderID,OrderDate,CustomerID,CustomerName,Region,SalesChannel,ProductID,ProductName,Category,BusinessLine,UnitPrice,Quantity,Discount,Revenue,Cost,Profit,CustomerTenureMonths,CustomerSegment,Industry,LastPurchaseDaysAgo
O000020,2025-06-29,C0205,Customer 205,China,Online,M004,Patient Monitoring Module,Medical Equipment,Medical,8500,2,0.04,16320.0,10000,6320.0,57,Retail,Medical Distributors,43
O000021,2025-01-22,C0005,Customer 005,Indonesia,Online,S001,Smart Home Controller,IoT Devices,Smart Devices,180,9,0.04,1555.2,810,745.2,76,SME,Technology,72
O000022,2024-07-19,C0073,Customer 073,Malaysia,Direct Sales,M004,Patient Monitoring Module,Medical Equipment,Medical,8500,1,0.1,7650.0,5000,2650.0,75,SME,Consumer Electronics,142
O000023,2025-07-20,C0068,Customer 068,Indonesia,Distributor,M002,Operating Table,Medical Equipment,Medical,18000,1,0.14,15480.0,11000,4480.0,27,Enterprise,Consumer Electronics,176
O000024,2023-02-13,C0203,Customer 203,China,Online,M001,Surgical Light System,Medical Equipment,Medical,12000,2,0.05,22800.0,14000,8800.0,80,Retail,Hospital Systems,18
O000025,2023-09-15,C0066,Customer 066,Thailand,Distributor,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,7,0.01,2217.6,1190,1027.6,18,Retail,Medical Distributors,68
O000026,2024-02-29,C0097,Customer 097,Thailand,Distributor,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,10,0.1,2880.0,1700,1180.0,19,Enterprise,Robotics,7
O000027,2024-04-22,C0059,Customer 059,Indonesia,Distributor,A002,Control Unit Module,Electronics,Autonomous,780,3,0.13,2035.8,1260,775.8,27,SME,Smart Home,172
O000028,2023-01-06,C0125,Customer 125,Malaysia,Distributor,A001,Advanced PCB Board,Electronics,Autonomous,450,8,0.15,3060.0,2000,1060.0,31,Retail,Automotive OEM,33
O000029,2024-05-28,C0159,Customer 159,Indonesia,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,2,0.08,46000.0,30000,16000.0,67,Retail,Robotics,98
O000030,2023-02-22,C0204,Customer 204,Malaysia,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.06,23500.0,15000,8500.0,30,SME,Smart Home,24
O000031,2024-05-02,C0066,Customer 066,Thailand,Online,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,10,0.0,3200.0,1700,1500.0,18,Retail,Medical Distributors,68
O000032,2024-06-27,C0157,Customer 157,Indonesia,Distributor,M001,Surgical Light System,Medical Equipment,Medical,12000,4,0.08,44160.0,28000,16160.0,20,SME,Hospital Systems,39
O000033,2025-12-13,C0100,Customer 100,China,Direct Sales,M002,Operating Table,Medical Equipment,Medical,18000,1,0.06,16920.0,11000,5920.0,19,SME,Robotics,168
O000034,2025-01-11,C0003,Customer 003,Singapore,Direct Sales,S001,Smart Home Controller,IoT Devices,Smart Devices,180,4,0.07,669.6,360,309.6,30,Enterprise,Robotics,130
O000035,2024-03-29,C0157,Customer 157,Indonesia,Direct Sales,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,15,0.1,4320.0,2550,1770.0,20,SME,Hospital Systems,39
O000036,2025-12-03,C0099,Customer 099,China,Retail,A001,Advanced PCB Board,Electronics,Autonomous,450,7,0.07,2929.5,1750,1179.5,92,SME,Robotics,179
O000037,2023-03-05,C0215,Customer 215,Singapore,Retail,M001,Surgical Light System,Medical Equipment,Medical,12000,1,0.16,10080.0,7000,3080.0,74,Enterprise,Consumer Electronics,76
O000038,2025-05-23,C0080,Customer 080,China,Direct Sales,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,8,0.07,706.8,360,346.8,45,Enterprise,Technology,79
O000039,2025-06-27,C0088,Customer 088,Singapore,Direct Sales,M002,Operating Table,Medical Equipment,Medical,18000,2,0.05,34200.0,22000,12200.0,80,Retail,Consumer Electronics,81
O000040,2023-10-31,C0134,Customer 134,Thailand,Distributor,M002,Operating Table,Medical Equipment,Medical,18000,2,0.11,32040.0,22000,10040.0,63,Enterprise,Industrial Automation,28
O000041,2024-10-27,C0077,Customer 077,Malaysia,Online,A003,Sensor Processing Unit,Electronics,Autonomous,620,5,0.06,2914.0,1750,1164.0,53,Retail,Automotive OEM,7
O000042,2025-05-31,C0208,Customer 208,Indonesia,Direct Sales,M002,Operating Table,Medical Equipment,Medical,18000,2,0.09,32760.0,22000,10760.0,22,SME,Automotive OEM,45
O000043,2024-03-16,C0117,Customer 117,China,Retail,A003,Sensor Processing Unit,Electronics,Autonomous,620,5,0.09,2821.0,1750,1071.0,17,SME,Technology,160
O000044,2025-04-27,C0105,Customer 105,Indonesia,Retail,A002,Control Unit Module,Electronics,Autonomous,780,7,0.05,5187.0,2940,2247.0,21,SME,Technology,122
O000045,2023-07-14,C0005,Customer 005,Indonesia,Retail,A002,Control Unit Module,Electronics,Autonomous,780,6,0.05,4446.0,2520,1926.0,76,SME,Technology,72
O000046,2024-06-06,C0080,Customer 080,China,Distributor,A002,Control Unit Module,Electronics,Autonomous,780,6,0.12,4118.4,2520,1598.4,45,Enterprise,Technology,79
O000047,2025-08-29,C0136,Customer 136,China,Direct Sales,M002,Operating Table,Medical Equipment,Medical,18000,2,0.16,30240.0,22000,8240.0,79,Enterprise,Smart Home,138
O000048,2023-07-10,C0209,Customer 209,Singapore,Direct Sales,A003,Sensor Processing Unit,Electronics,Autonomous,620,3,0.08,1711.2,1050,661.2,80,SME,Industrial Automation,175
O000049,2025-02-02,C0100,Customer 100,China,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.07,23250.0,15000,8250.0,19,SME,Robotics,168
O000050,2024-11-06,C0149,Customer 149,Indonesia,Direct Sales,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,8,0.03,737.2,360,377.2,25,Retail,Automotive OEM,56
O000051,2025-05-16,C0097,Customer 097,Thailand,Direct Sales,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,8,0.12,985.6,560,425.6,19,Enterprise,Robotics,7
O000052,2024-10-01,C0146,Customer 146,Indonesia,Direct Sales,A002,Control Unit Module,Electronics,Autonomous,780,4,0.07,2901.6,1680,1221.6,55,SME,Consumer Electronics,141
O000053,2024-03-11,C0067,Customer 067,Singapore,Retail,M003,Anesthesia Machine,Medical Equipment,Medical,25000,4,0.05,95000.0,60000,35000.0,35,Retail,Automotive OEM,73
O000054,2023-08-10,C0173,Customer 173,Malaysia,Online,A002,Control Unit Module,Electronics,Autonomous,780,3,0.03,2269.8,1260,1009.8,87,Retail,Hospital Systems,69
O000055,2024-07-24,C0042,Customer 042,Indonesia,Distributor,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,8,0.1,2304.0,1360,944.0,28,Enterprise,Technology,139
O000056,2023-02-23,C0196,Customer 196,Thailand,Online,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,11,0.03,3414.4,1870,1544.4,50,SME,Industrial Automation,170
O000057,2024-07-13,C0217,Customer 217,Indonesia,Online,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,12,0.07,1562.4,840,722.4,78,Retail,Hospital Systems,128
O000058,2024-12-19,C0128,Customer 128,Singapore,Distributor,M001,Surgical Light System,Medical Equipment,Medical,12000,2,0.09,21840.0,14000,7840.0,40,Retail,Automotive OEM,28
O000059,2025-03-31,C0015,Customer 015,Singapore,Distributor,M002,Operating Table,Medical Equipment,Medical,18000,3,0.08,49680.0,33000,16680.0,69,SME,Automotive OEM,63
O000060,2023-03-04,C0210,Customer 210,Malaysia,Distributor,M002,Operating Table,Medical Equipment,Medical,18000,2,0.06,33840.0,22000,11840.0,30,SME,Automotive OEM,119
O000061,2025-07-18,C0143,Customer 143,China,Distributor,A002,Control Unit Module,Electronics,Autonomous,780,6,0.09,4258.8,2520,1738.8,89,SME,Robotics,122
O000062,2024-10-26,C0104,Customer 104,China,Direct Sales,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,11,0.11,3132.8,1870,1262.8,57,SME,Consumer Electronics,157
O000063,2023-11-15,C0115,Customer 115,Indonesia,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,4,0.08,92000.0,60000,32000.0,63,Retail,Robotics,57
O000064,2024-07-11,C0098,Customer 098,Singapore,Retail,A004,Robotics Motion Controller,Electronics,Autonomous,950,6,0.06,5358.0,3240,2118.0,79,Enterprise,Technology,19
O000065,2025-06-24,C0086,Customer 086,Indonesia,Online,A003,Sensor Processing Unit,Electronics,Autonomous,620,5,0.04,2976.0,1750,1226.0,33,Enterprise,Robotics,12
O000066,2025-11-15,C0151,Customer 151,Thailand,Online,M002,Operating Table,Medical Equipment,Medical,18000,1,0.12,15840.0,11000,4840.0,39,Enterprise,Automotive OEM,4
O000067,2024-08-03,C0021,Customer 021,Malaysia,Retail,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,7,0.08,611.8,315,296.8,96,Enterprise,Smart Home,150
O000068,2024-09-23,C0209,Customer 209,Singapore,Distributor,M001,Surgical Light System,Medical Equipment,Medical,12000,3,0.06,33840.0,21000,12840.0,80,SME,Industrial Automation,175
O000069,2023-04-23,C0135,Customer 135,China,Distributor,M001,Surgical Light System,Medical Equipment,Medical,12000,2,0.05,22800.0,14000,8800.0,91,Retail,Technology,40
O000070,2024-03-08,C0091,Customer 091,Malaysia,Online,M003,Anesthesia Machine,Medical Equipment,Medical,25000,2,0.05,47500.0,30000,17500.0,87,SME,Industrial Automation,45
O000071,2023-09-03,C0107,Customer 107,Indonesia,Retail,M001,Surgical Light System,Medical Equipment,Medical,12000,3,0.08,33120.0,21000,12120.0,36,SME,Robotics,113
O000072,2023-12-26,C0137,Customer 137,China,Retail,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.07,23250.0,15000,8250.0,42,SME,Smart Home,63
O000073,2024-04-16,C0007,Customer 007,Thailand,Online,S001,Smart Home Controller,IoT Devices,Smart Devices,180,10,0.04,1728.0,900,828.0,44,Enterprise,Robotics,27
O000074,2023-03-28,C0090,Customer 090,China,Direct Sales,A003,Sensor Processing Unit,Electronics,Autonomous,620,11,0.06,6410.8,3850,2560.8,71,Enterprise,Smart Home,33
O000075,2023-06-09,C0178,Customer 178,China,Retail,A002,Control Unit Module,Electronics,Autonomous,780,7,0.07,5077.8,2940,2137.8,85,SME,Smart Home,103
O000076,2025-05-05,C0011,Customer 011,Thailand,Direct Sales,A001,Advanced PCB Board,Electronics,Autonomous,450,7,0.05,2992.5,1750,1242.5,6,SME,Medical Distributors,170
O000077,2024-10-27,C0098,Customer 098,Singapore,Retail,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.16,21000.0,15000,6000.0,79,Enterprise,Technology,19
O000078,2025-01-11,C0214,Customer 214,China,Retail,M002,Operating Table,Medical Equipment,Medical,18000,3,0.09,49140.0,33000,16140.0,50,Retail,Robotics,124
O000079,2024-05-13,C0167,Customer 167,Malaysia,Retail,A003,Sensor Processing Unit,Electronics,Autonomous,620,1,0.06,582.8,350,232.8,83,SME,Robotics,39
O000080,2025-03-21,C0160,Customer 160,China,Online,A001,Advanced PCB Board,Electronics,Autonomous,450,4,0.04,1728.0,1000,728.0,76,Retail,Smart Home,110
O000081,2023-12-11,C0184,Customer 184,China,Direct Sales,M002,Operating Table,Medical Equipment,Medical,18000,4,0.13,62640.0,44000,18640.0,91,Enterprise,Robotics,41
O000082,2024-02-02,C0017,Customer 017,Indonesia,Online,A002,Control Unit Module,Electronics,Autonomous,780,6,0.08,4305.6,2520,1785.6,8,Enterprise,Consumer Electronics,59
O000083,2023-10-30,C0166,Customer 166,Singapore,Direct Sales,M004,Patient Monitoring Module,Medical Equipment,Medical,8500,2,0.04,16320.0,10000,6320.0,81,SME,Smart Home,151
O000084,2024-02-09,C0063,Customer 063,Malaysia,Distributor,M003,Anesthesia Machine,Medical Equipment,Medical,25000,4,0.08,92000.0,60000,32000.0,45,SME,Automotive OEM,18
O000085,2023-06-04,C0141,Customer 141,Thailand,Retail,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.06,23500.0,15000,8500.0,36,Retail,Consumer Electronics,153
O000086,2025-07-08,C0094,Customer 094,Thailand,Online,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,6,0.11,507.3,270,237.3,87,SME,Technology,55
O000087,2024-10-09,C0172,Customer 172,China,Retail,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.03,24250.0,15000,9250.0,4,SME,Smart Home,24
O000088,2025-06-24,C0043,Customer 043,Malaysia,Online,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,6,0.1,513.0,270,243.0,32,SME,Technology,122
O000089,2023-04-26,C0220,Customer 220,Malaysia,Direct Sales,A002,Control Unit Module,Electronics,Autonomous,780,5,0.04,3744.0,2100,1644.0,40,SME,Hospital Systems,113
O000090,2025-07-14,C0072,Customer 072,Indonesia,Direct Sales,M001,Surgical Light System,Medical Equipment,Medical,12000,2,0.06,22560.0,14000,8560.0,15,SME,Hospital Systems,20
O000091,2024-08-10,C0055,Customer 055,China,Direct Sales,M002,Operating Table,Medical Equipment,Medical,18000,1,0.07,16740.0,11000,5740.0,8,SME,Automotive OEM,131
O000092,2025-11-04,C0091,Customer 091,Malaysia,Retail,A003,Sensor Processing Unit,Electronics,Autonomous,620,5,0.07,2883.0,1750,1133.0,87,SME,Industrial Automation,45
O000093,2023-03-26,C0179,Customer 179,Indonesia,Distributor,A004,Robotics Motion Controller,Electronics,Autonomous,950,4,0.08,3496.0,2160,1336.0,41,Enterprise,Medical Distributors,65
O000094,2025-09-01,C0104,Customer 104,China,Distributor,S001,Smart Home Controller,IoT Devices,Smart Devices,180,5,0.12,792.0,450,342.0,57,SME,Consumer Electronics,157
O000095,2025-07-11,C0020,Customer 020,China,Online,M002,Operating Table,Medical Equipment,Medical,18000,2,0.1,32400.0,22000,10400.0,19,SME,Technology,68
O000096,2023-06-22,C0045,Customer 045,Thailand,Distributor,S001,Smart Home Controller,IoT Devices,Smart Devices,180,5,0.03,873.0,450,423.0,94,SME,Technology,14
O000097,2025-06-15,C0022,Customer 022,China,Distributor,A004,Robotics Motion Controller,Electronics,Autonomous,950,6,0.09,5187.0,3240,1947.0,47,Retail,Industrial Automation,57
O000098,2024-08-02,C0163,Customer 163,Malaysia,Retail,A003,Sensor Processing Unit,Electronics,Autonomous,620,7,0.08,3992.8,2450,1542.8,21,Enterprise,Medical Distributors,1
O000099,2023-04-18,C0109,Customer 109,Thailand,Online,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,6,0.01,564.3,270,294.3,18,Retail,Medical Distributors,39
O000100,2023-07-13,C0070,Customer 070,China,Retail,S001,Smart Home Controller,IoT Devices,Smart Devices,180,12,0.02,2116.8,1080,1036.8,1,Retail,Hospital Systems,86
O000101,2023-11-04,C0121,Customer 121,China,Direct Sales,A002,Control Unit Module,Electronics,Autonomous,780,4,0.07,2901.6,1680,1221.6,36,Enterprise,Industrial Automation,108
O000102,2023-10-17,C0019,Customer 019,Malaysia,Online,A002,Control Unit Module,Electronics,Autonomous,780,3,0.1,2106.0,1260,846.0,28,Retail,Consumer Electronics,168
O000103,2025-03-13,C0099,Customer 099,China,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.05,23750.0,15000,8750.0,92,SME,Robotics,179
O000104,2025-02-10,C0064,Customer 064,Malaysia,Online,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,9,0.1,769.5,405,364.5,57,SME,Automotive OEM,140
O000105,2025-12-14,C0168,Customer 168,Thailand,Retail,M002,Operating Table,Medical Equipment,Medical,18000,3,0.07,50220.0,33000,17220.0,8,Retail,Medical Distributors,43
O000106,2023-02-07,C0127,Customer 127,Thailand,Online,A002,Control Unit Module,Electronics,Autonomous,780,2,0.03,1513.2,840,673.2,78,Retail,Automotive OEM,156
O000107,2024-03-14,C0019,Customer 019,Malaysia,Retail,A002,Control Unit Module,Electronics,Autonomous,780,3,0.04,2246.4,1260,986.4,28,Retail,Consumer Electronics,168
O000108,2023-10-09,C0034,Customer 034,Singapore,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.05,23750.0,15000,8750.0,17,Retail,Automotive OEM,169
O000109,2023-07-27,C0070,Customer 070,China,Direct Sales,S001,Smart Home Controller,IoT Devices,Smart Devices,180,9,0.05,1539.0,810,729.0,1,Retail,Hospital Systems,86
O000110,2023-09-26,C0091,Customer 091,Malaysia,Retail,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,6,0.04,1843.2,1020,823.2,87,SME,Industrial Automation,45
O000111,2024-01-06,C0191,Customer 191,Indonesia,Distributor,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,9,0.09,1146.6,630,516.6,37,Enterprise,Hospital Systems,77
O000112,2023-03-31,C0044,Customer 044,China,Online,A003,Sensor Processing Unit,Electronics,Autonomous,620,9,0.07,5189.4,3150,2039.4,85,Enterprise,Medical Distributors,111
O000113,2024-05-01,C0143,Customer 143,China,Online,A004,Robotics Motion Controller,Electronics,Autonomous,950,8,0.08,6992.0,4320,2672.0,89,SME,Robotics,122
O000114,2025-07-08,C0014,Customer 014,Thailand,Distributor,M004,Patient Monitoring Module,Medical Equipment,Medical,8500,2,0.11,15130.0,10000,5130.0,90,Enterprise,Smart Home,175
O000115,2025-08-18,C0012,Customer 012,Malaysia,Online,M004,Patient Monitoring Module,Medical Equipment,Medical,8500,2,0.08,15640.0,10000,5640.0,30,Retail,Medical Distributors,26
O000116,2025-06-21,C0062,Customer 062,Indonesia,Online,A004,Robotics Motion Controller,Electronics,Autonomous,950,5,0.08,4370.0,2700,1670.0,10,Retail,Medical Distributors,138
O000117,2025-10-26,C0022,Customer 022,China,Retail,S001,Smart Home Controller,IoT Devices,Smart Devices,180,10,0.08,1656.0,900,756.0,47,Retail,Industrial Automation,57
O000118,2024-02-13,C0071,Customer 071,Malaysia,Distributor,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,8,0.11,2278.4,1360,918.4,21,SME,Smart Home,114
O000119,2023-04-17,C0193,Customer 193,Indonesia,Retail,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,8,0.11,676.4,360,316.4,71,SME,Consumer Electronics,140
O000120,2023-07-30,C0067,Customer 067,Singapore,Direct Sales,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,7,0.02,960.4,490,470.4,35,Retail,Automotive OEM,73
O000121,2023-11-25,C0012,Customer 012,Malaysia,Retail,A001,Advanced PCB Board,Electronics,Autonomous,450,5,0.09,2047.5,1250,797.5,30,Retail,Medical Distributors,26
O000122,2023-10-29,C0119,Customer 119,Singapore,Direct Sales,A003,Sensor Processing Unit,Electronics,Autonomous,620,2,0.1,1116.0,700,416.0,18,Enterprise,Industrial Automation,119
O000123,2024-03-30,C0157,Customer 157,Indonesia,Online,A004,Robotics Motion Controller,Electronics,Autonomous,950,8,0.09,6916.0,4320,2596.0,20,SME,Hospital Systems,39
O000124,2025-04-29,C0154,Customer 154,Singapore,Retail,M001,Surgical Light System,Medical Equipment,Medical,12000,3,0.07,33480.0,21000,12480.0,61,Retail,Smart Home,123
O000125,2024-04-27,C0086,Customer 086,Indonesia,Direct Sales,A003,Sensor Processing Unit,Electronics,Autonomous,620,3,0.05,1767.0,1050,717.0,33,Enterprise,Robotics,12
O000126,2023-02-27,C0156,Customer 156,Singapore,Direct Sales,A002,Control Unit Module,Electronics,Autonomous,780,6,0.09,4258.8,2520,1738.8,63,Retail,Industrial Automation,19
O000127,2024-11-17,C0211,Customer 211,Thailand,Distributor,M003,Anesthesia Machine,Medical Equipment,Medical,25000,1,0.03,24250.0,15000,9250.0,60,SME,Hospital Systems,74
O000128,2025-08-25,C0172,Customer 172,China,Distributor,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,8,0.1,1008.0,560,448.0,4,SME,Smart Home,24
O000129,2025-08-18,C0092,Customer 092,Indonesia,Direct Sales,A004,Robotics Motion Controller,Electronics,Autonomous,950,5,0.09,4322.5,2700,1622.5,71,SME,Industrial Automation,1
O000130,2023-02-08,C0136,Customer 136,China,Distributor,A001,Advanced PCB Board,Electronics,Autonomous,450,7,0.13,2740.5,1750,990.5,79,Enterprise,Smart Home,138
O000131,2025-12-16,C0035,Customer 035,China,Direct Sales,A003,Sensor Processing Unit,Electronics,Autonomous,620,8,0.08,4563.2,2800,1763.2,34,Retail,Automotive OEM,136
O000132,2024-05-01,C0201,Customer 201,Thailand,Direct Sales,A001,Advanced PCB Board,Electronics,Autonomous,450,7,0.02,3087.0,1750,1337.0,84,Enterprise,Industrial Automation,21
O000133,2025-05-09,C0076,Customer 076,Singapore,Retail,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,9,0.04,820.8,405,415.8,80,SME,Industrial Automation,40
O000134,2025-10-20,C0104,Customer 104,China,Direct Sales,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,6,0.09,1747.2,1020,727.2,57,SME,Consumer Electronics,157
O000135,2024-05-10,C0063,Customer 063,Malaysia,Distributor,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,9,0.06,1184.4,630,554.4,45,SME,Automotive OEM,18
O000136,2023-01-04,C0215,Customer 215,Singapore,Online,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,6,0.05,1824.0,1020,804.0,74,Enterprise,Consumer Electronics,76
O000137,2025-05-03,C0155,Customer 155,China,Direct Sales,M003,Anesthesia Machine,Medical Equipment,Medical,25000,3,0.13,65250.0,45000,20250.0,33,Enterprise,Hospital Systems,123
O000138,2025-01-08,C0018,Customer 018,Singapore,Direct Sales,M002,Operating Table,Medical Equipment,Medical,18000,1,0.06,16920.0,11000,5920.0,35,Retail,Industrial Automation,17
O000139,2025-08-20,C0014,Customer 014,Thailand,Retail,M001,Surgical Light System,Medical Equipment,Medical,12000,1,0.18,9840.0,7000,2840.0,90,Enterprise,Smart Home,175
O000140,2024-06-03,C0177,Customer 177,Thailand,Direct Sales,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,10,0.06,1316.0,700,616.0,21,Enterprise,Medical Distributors,85
O000141,2023-05-19,C0134,Customer 134,Thailand,Distributor,A002,Control Unit Module,Electronics,Autonomous,780,6,0.12,4118.4,2520,1598.4,63,Enterprise,Industrial Automation,28
O000142,2023-08-01,C0022,Customer 022,China,Online,S002,Drone Navigation Module,IoT Devices,Smart Devices,320,9,0.01,2851.2,1530,1321.2,47,Retail,Industrial Automation,57
O000143,2024-12-22,C0066,Customer 066,Thailand,Online,S001,Smart Home Controller,IoT Devices,Smart Devices,180,8,0.07,1339.2,720,619.2,18,Retail,Medical Distributors,68
O000144,2023-12-25,C0073,Customer 073,Malaysia,Retail,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,10,0.12,836.0,450,386.0,75,SME,Consumer Electronics,142
O000145,2025-09-07,C0182,Customer 182,Thailand,Distributor,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,6,0.1,513.0,270,243.0,81,SME,Technology,114
O000146,2023-05-10,C0098,Customer 098,Singapore,Retail,S004,Smart Lock Control Board,IoT Devices,Smart Devices,140,5,0.03,679.0,350,329.0,79,Enterprise,Technology,19
O000147,2024-02-17,C0086,Customer 086,Indonesia,Distributor,M001,Surgical Light System,Medical Equipment,Medical,12000,4,0.17,39840.0,28000,11840.0,33,Enterprise,Robotics,12
O000148,2024-10-08,C0171,Customer 171,Indonesia,Retail,A001,Advanced PCB Board,Electronics,Autonomous,450,6,0.1,2430.0,1500,930.0,77,SME,Medical Distributors,11
O000149,2025-08-27,C0033,Customer 033,Singapore,Direct Sales,A001,Advanced PCB Board,Electronics,Autonomous,450,5,0.08,2070.0,1250,820.0,11,Enterprise,Medical Distributors,125
O000150,2024-01-27,C0144,Customer 144,China,Online,A001,Advanced PCB Board,Electronics,Autonomous,450,5,0.09,2047.5,1250,797.5,12,SME,Hospital Systems,76
O000151,2023-04-08,C0220,Customer 220,Malaysia,Online,S003,Wireless Sensor Node,IoT Devices,Smart Devices,95,7,0.05,631.75,315,316.75,40,SME,Hospital Systems,113
